AirSystems
,,,,,Cooling,,,,Heating,,,Fan/Ventilation,,,Controls
Name,Type,Status,System Count,Floor Area Served,Net Capacity,Design Supply T,Capacity/Area,Supply Flow/Ton,Net Capacity,Design Supply T,Capacity/Area,Supply Flow,Supply Flow/Area,Design OA,OA/Area,Control Zone Name,Temp Control,FixedT,Supply HiT,At Outdoor,Supply LowT,At OutdoorT,ReheatCtrlMthd,Availability Schedule,Night Cycle Control
,,,(#),(ft2),(Btu/hr),(degF),(Btu/ft2),(cfm/ton),(Btu/hr),(degF),(Btu/ft2),(cfm),(cfm/ft2),(cfm),(cfm/ft2),,,(degF),(degF),(degF),(degF),( degF),,,
,,,(#),,(#),,(ft2),(#),(cfm),(cfm),(cfm),,,,( W/cfm)
"BaseVAVNoReheatTrmlUnit","Uncontrolled","New",1,"BaseAirSys7or3b",1,"Zn Sys 1 Reception",1392.18,1,1171.15,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"BaseVAVNoReheatTrmlUnit-2","Uncontrolled","New",1,"BaseAirSys7or3b-2",1,"Zn Sys 2 Conference",928.864,1,1373.45,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"BaseVAVNoReheatTrmlUnit-3","Uncontrolled","New",1,"BaseAirSys7or3b-3",1,"Zn Sys 3 Break Room",1414.3,1,1563.97,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"BaseVAVNoReheatTrmlUnit-4","VAVNoReheatBox","New",1,"BaseAirSys7or3b-4",1,"Zn Sys 4 Open Office",5962.26,1,5379.41,2689.71,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"BaseVAVNoReheatTrmlUnit-5","Uncontrolled","New",1,"BaseAirSys7or3b-5",1,"Zn Sys 5 Conference-Office",578.266,1,637.507,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"BaseVAVNoReheatTrmlUnit-6","Uncontrolled","New",1,"BaseAirSys7or3b-6",1,"Zn Sys 6 Conference-Support",1359.22,1,1649.73,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"BaseUnctrl TrmlUnit","Uncontrolled","New",1,"BaseAirSys11",1,"Zn Sys 8 IT and Elec",131.889,1,1010.51,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"BaseVAVNoReheatTrmlUnit-7","Uncontrolled","New",1,"BaseAirSys7or3b-7",1,"Zn Sys 9 Library",1818.04,1,2020.65,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996



Cooling Coils
,,,,Relationships,,,Capacity,,,,ChilledWater,,,DirectExpansion
Name,Type,Status,Fuel Src,System,System Qty,Zone,Total-Net,Total-Gross,FluidSegIn,FluidSegOut,Design Flow Rate,Condenser Type,Number Stages,SEER (rounded),CodeMin SEER,EER (rounded),CodeMin EER,IEER (roundded),CodeMin IEER,EIR,Sizing Ratio,SEER2 (rounded),CodeMin SEER2,EER2 (rounded), CodeMin EER2
,,,,,(#),,(Btu/hr),(Btu/hr),(Btu/hr),(Btu/hr),( gpm)
"BaseSys7or3b CoilClg","DirectExpansion","New","Electric","BaseAirSys7or3b",1,"n/a",43899.9,45801.3,"NONE","NONE",-99996,"Air",1,14,14,11.4,-99996,-99996,-99996,0.245361,1.15,-99996,-99996,-99996,-99996
"BaseSys7or3b CoilClg-2","DirectExpansion","New","Electric","BaseAirSys7or3b-2",1,"n/a",47500.7,49557.9,"NONE","NONE",-99996,"Air",1,14,14,11.4,-99996,-99996,-99996,0.245361,1.15,-99996,-99996,-99996,-99996
"BaseSys7or3b CoilClg-3","DirectExpansion","New","Electric","BaseAirSys7or3b-3",1,"n/a",48614.4,50719.9,"NONE","NONE",-99996,"Air",1,14,14,11.4,-99996,-99996,-99996,0.245361,1.15,-99996,-99996,-99996,-99996
"BaseSys7or3b CoilClg-4","DirectExpansion","New","Electric","BaseAirSys7or3b-4",1,"n/a",174635,182199,"NONE","NONE",-99996,"Air",2,-99996,-99996,10.6,10.6,-99996,-99996,0.267012,1.15,-99996,-99996,-99996,-99996
"BaseSys7or3b CoilClg-5","DirectExpansion","New","Electric","BaseAirSys7or3b-5",1,"n/a",19976.3,20841.4,"NONE","NONE",-99996,"Air",1,14,14,11.4,-99996,-99996,-99996,0.245361,1.15,-99996,-99996,-99996,-99996
"BaseSys7or3b CoilClg-6","DirectExpansion","New","Electric","BaseAirSys7or3b-6",1,"n/a",54075.9,56418,"NONE","NONE",-99996,"Air",1,14,14,11.4,-99996,-99996,-99996,0.245361,1.15,-99996,-99996,-99996,-99996
"BaseSys11 CoilClg","DirectExpansion","New","Electric","BaseAirSys11",1,"n/a",27239.1,29238.9,"NONE","NONE",-99996,"Air",1,-99996,-99996,-99996,-99996,-99996,-99996,0.272224,1.15,-99996,-99996,-99996,-99996
"BaseSys7or3b CoilClg-7","DirectExpansion","New","Electric","BaseAirSys7or3b-7",1,"n/a",59995.7,62594.1,"NONE","NONE",-99996,"Air",1,14,14,11.4,-99996,-99996,-99996,0.245361,1.15,-99996,-99996,-99996,-99996



Heating Coils
,,,,Relationships,,,Capacity,,HotWater,,,HeatPump,,,,,,,,,Furnace
Name,Type,Status,Fuel Src,System,System Qty,Zone,Total-Net,Total-Gross,FluidSeg In,FluidSeg Out,Design Flow Rate,Condenser Type,Number Stages,HSPF (rounded),CodeMin HSPF,COP (rounded),CodeMin COP,EIR,Comp Lockout Temp,Supp Htr Temp,AFUE,CodeMin AFUE,Thrml Eff,CodeMin Thrml Eff,SizingRatio,HSPF2 (rounded), CodeMin HSPF2
,,,,,(#),,(Btu/hr),(Btu/hr),,,(gpm),,,,,,,,(?F),( ?F)
"BaseSys7or3b CoilHtg","HeatPump","New","Electric","BaseAirSys7or3b",1,"n/a",47702.6,45801.3,"NONE","NONE",0,"Air",1,8,8,3.2,-99996,0.28396,17,35,-99996,-99996,-99996,-99996,2.8296,-99996,-99996
"BaseSys7or3b CoilHtg-2","HeatPump","New","Electric","BaseAirSys7or3b-2",1,"n/a",51615.2,49557.9,"NONE","NONE",0,"Air",1,8,8,3.2,-99996,0.28396,17,35,-99996,-99996,-99996,-99996,2.50707,-99996,-99996
"BaseSys7or3b CoilHtg-3","HeatPump","New","Electric","BaseAirSys7or3b-3",1,"n/a",52825.5,50719.9,"NONE","NONE",0,"Air",1,8,8,3.2,-99996,0.28396,17,35,-99996,-99996,-99996,-99996,2.01514,-99996,-99996
