"MF88 Individual Supply + Individual Exhaust (ERV, ResVRF)  /  Proposed  /  EX03_MF88_Central-WSHP_CZ09.cibd25",002
"Fri 22-May-26   4:3 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",126.042,0,1.68565,0.00880653,0,0,0.163783,0,0,8.29109,11.6674,5.78669,0,5.8374,51.3333,0,16.3838,0,18.5615,0,1.13058,0,5.19236,0,0
"MtrElec",1,1,2,"",107.266,0,2.05131,0.0124699,0,0,0.163783,0,0,8.29109,11.6674,5.77097,0,4.8222,47.2797,0,15.5651,2.47506,0,0,0.904462,0,8.26227,0,0
"MtrElec",1,1,3,"",103.454,0,2.50304,0.0201851,0,0,0.163783,0,0,8.29109,11.6674,5.7151,0,3.807,44.8524,0,15.2673,0,0,0,0.678346,0,10.4882,0,0
"MtrElec",1,1,4,"",105.727,0,3.589,0.344287,0.0724503,0,0.163783,0,0,8.29109,11.6674,5.63651,0,4.3146,44.7245,0,14.9014,0,0,0,0.678346,0,11.3437,0,0
"MtrElec",1,1,5,"",107.643,0,4.38836,0.516891,3.1178,0,0.163783,0,0,8.29109,11.6674,5.6284,0,5.3298,42.5129,0,14.5842,0,0,0,0.678346,0,10.7638,0,0
"MtrElec",1,1,6,"",187.408,0,4.96771,0.73683,82.5689,0,0.163783,0,0,8.29109,11.6674,5.6284,0,7.8678,46.3646,0,14.5452,0,0,0,1.13058,0,3.4757,0,0
"MtrElec",1,1,7,"",166.28,0,5.49091,1.00822,50.6004,0,0.163783,0,0,8.29109,11.6674,5.6284,0,10.6596,52.2089,0,15.0807,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",231.823,0,5.03483,0.879882,88.398,0,0.163783,0,0,8.29109,11.6674,5.6284,0,10.4058,56.9195,0,16.1613,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",317.122,0,3.91287,0.240922,138.087,0,0.163783,0,0,8.29109,11.6674,5.6284,0,8.6292,53.744,0,17.639,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",341.323,0,2.5044,0,126.685,0,0.163783,0,0,8.29109,11.6675,0.152744,0,7.3602,51.7744,0,17.6231,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",349.715,0,1.07164,0,60.1174,0,0.163783,0,0,8.29109,11.6677,0,0,6.8526,52.8005,0,17.3058,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",356.868,0,0.611487,0,102.248,0,0.163783,0,0,8.29109,11.6676,0,0,6.345,52.0002,0,17.69,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",307.534,0,0.30316,0,89.1994,0,0.163783,0,0,8.29109,11.6676,0,0,5.3298,53.1487,0,18.057,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",203.334,0,0.216062,0,15.3388,0,0.163783,0,0,8.29109,11.6676,0,0,5.3298,54.647,0,18.2569,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",212.646,0,0.143283,0,62.1539,0,0.163783,0,0,8.29109,11.6676,0,0,5.3298,57.1222,0,18.0477,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",206.832,0,0.158166,0,63.3857,0,0.163783,0,0,8.29109,11.6676,0,0,6.5988,59.8622,0,18.137,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",218.984,0,0.272286,0,22.1752,0,0.163783,0,0,8.29109,11.6678,0,0,7.8678,66.6719,0,18.2246,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",314.553,0,0.469917,0,78.1661,0,0.163783,0,0,8.29109,11.6678,0,0,11.1672,74.336,0,19.0908,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",381.9,0,0.628735,0,120.191,0,0.163783,0,0,8.29109,11.6677,0.0249836,0,21.3192,79.8369,0,19.9971,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",285.817,0,0.723968,0,69.7193,0,0.163783,0,0,8.29109,11.6676,0.4896,0,29.6946,82.9684,0,19.727,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",270.001,0,0.994984,0,87.9346,0,0.163783,0,0,8.29109,11.6676,0.44931,0,28.6794,86.0232,0,19.3737,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",234.104,0,1.07943,0,59.376,0,0.163783,0,0,8.29109,11.6677,0,0,24.3648,85.0899,0,18.6088,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",217.833,0,1.24045,0,49.4467,0,0.163783,0,0,8.29109,11.6677,0.0207587,0,15.9894,73.9478,0,17.6148,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",142.084,0,1.86709,0,0,0,0.163783,0,0,8.29109,11.6675,0.415174,0,9.8982,62.7554,0,17.2188,4.95004,22.3647,0,1.13058,0,1.36192,0,0
"MtrElec",1,2,1,"",112.736,0,2.50011,0,0,0,0.163783,0,0,8.29109,11.6675,5.69181,0,5.8374,51.197,0,16.0087,2.47455,0,0,1.13058,0,7.77367,0,0
"MtrElec",1,2,2,"",108.406,0,2.93296,0,0,0,0.163783,0,0,8.29109,11.6674,5.67742,0,4.8222,46.7506,0,15.4246,1.69764,0,0,0.904462,0,10.0741,0,0
"MtrElec",1,2,3,"",153.86,0,3.19268,0,49.8871,0,0.163783,0,0,8.29109,11.6674,5.67742,0,3.807,44.988,0,14.9566,3.25256,0,0.385447,0.904462,0,6.68635,0,0
"MtrElec",1,2,4,"",108.057,0,3.93751,0,0,0,0.163783,0,0,8.29109,11.6674,5.64066,0,4.3146,44.7238,0,14.709,0,3.25794,0.496546,0.904462,0,9.95065,0,0
"MtrElec",1,2,5,"",106.752,0,4.32262,0,0,0,0.163783,0,0,8.29109,11.6674,5.6284,0,5.3298,42.6485,0,14.4535,0,4.19699,0,0.904462,0,9.14567,0,0
"MtrElec",1,2,6,"",111.238,0,4.01163,0,3.66719,0,0.163783,0,0,8.29109,11.6674,5.6284,0,7.8678,46.6061,0,15.1548,0,0,0,3.16561,0,5.01444,0,0
"MtrElec",1,2,7,"",194.601,0,3.48316,0,78.8882,0,0.163783,0,0,8.29109,11.6674,5.6284,0,10.6596,54.526,0,16.5287,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",293.833,0,3.59175,0,158.01,0,0.163783,0,0,8.29109,11.6674,5.6284,0,10.4058,60.4814,0,17.6924,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",288.976,0,2.67266,0,111.741,0,0.163783,0,0,8.29109,11.6674,5.6284,0,8.6292,59.3392,0,17.3164,6.10072,48.2295,3.31761,5.879,0,0,0,0
"MtrElec",1,2,10,"",239.119,0,1.5973,0,83.0104,0,0.163783,0,0,8.29109,11.6676,0,0,7.3602,58.8664,0,16.3919,9.3224,28.0416,9.43204,4.97454,0,0,0,0
"MtrElec",1,2,11,"",269.755,0,1.38985,0,69.2585,0,0.163783,0,0,8.29109,11.6676,0,0,6.8526,59.1677,0,15.9732,5.7197,79.7231,6.79933,4.74842,0,0,0,0
"MtrElec",1,2,12,"",248.796,0,1.09773,0,75.9234,0,0.163783,0,0,8.29109,11.6677,0,0,6.345,59.1677,0,16.1047,5.26854,57.4705,0.738297,6.55734,0,0,0,0
"MtrElec",1,2,13,"",175.374,0,1.13043,0,55.4349,0,0.163783,0,0,8.29109,11.6676,0,0,5.3298,59.2479,0,16.3598,3.18173,6.24036,0.412509,7.91404,0,0,0,0
"MtrElec",1,2,14,"",166.251,0,1.23536,0,51.8939,0,0.163783,0,0,8.29109,11.6676,0.0228242,0,5.3298,60.3533,0,16.1018,0,3.48668,0.469537,7.23569,0,0,0,0
"MtrElec",1,2,15,"",174.085,0,1.38169,0,48.8352,0,0.163783,0,0,8.29109,11.6676,5.77939,0,5.3298,62.172,0,16.0946,2.47465,3.9687,0.238764,7.68792,0,0,0,0
"MtrElec",1,2,16,"",165.386,0,1.61525,0,35.0681,0,0.163783,0,0.00882454,8.29109,11.6675,5.77939,0,6.5988,63.7188,0,16.2911,0,2.01812,2.40773,11.758,0,0,0,0
"MtrElec",1,2,17,"",192.225,0,1.86247,0.00431194,21.1604,0,0.163783,0,0.0174126,8.29109,11.6674,5.7777,0,7.8678,70.6647,0,17.0121,0.530617,20.3511,0.851233,26.0033,0,0,0,0
"MtrElec",1,2,18,"",256.688,0,2.08381,0.190617,61.6542,0,0.163783,0,0.0165976,8.29109,11.6674,5.77606,0,11.1672,76.6157,0,18.5745,6.12925,7.19494,3.52304,43.6403,0,0,0,0
"MtrElec",1,2,19,"",282.86,0,1.95517,0.0614775,55.6864,0,0.163783,0,0.000879192,8.29109,11.6674,5.7472,0,21.3192,81.4779,0,19.8536,3.64857,29.7781,2.50869,40.7008,0,0,0,0
"MtrElec",1,2,20,"",305.452,0,1.77751,0,88.4715,0,0.163783,0,0,8.29109,11.6674,5.74509,0,29.6946,85.7687,0,19.6372,4.19983,21.2043,6.67204,22.1593,0,0,0,0
"MtrElec",1,2,21,"",360.131,0,1.98185,0.083146,114.97,0,0.163783,0,0,8.29109,11.6674,5.74525,0,28.6794,88.9865,0,18.9054,9.79747,56.3945,4.96868,9.49684,0,0,0,0
"MtrElec",1,2,22,"",273.771,0,2.58025,0.329674,62.2653,0,0.163783,0,0,8.29109,11.6674,5.70728,0,24.3648,87.7289,0,18.2117,1.95897,41.9971,3.98203,4.52231,0,0,0,0
"MtrElec",1,2,23,"",211.695,0,3.94638,0.626204,31.8255,0,0.163783,0,0,8.29109,11.6674,5.67742,0,15.9894,75.7196,0,17.1588,0.958384,33.6576,3.29997,2.71338,0,0,0,0
"MtrElec",1,2,24,"",211.924,0,5.5633,1.07191,55.4057,0,0.163783,0,0.0372207,8.29109,11.6674,5.63821,0,9.8982,63.8372,0,16.1821,2.47529,27.8926,1.53913,2.26115,0,0,0,0
"MtrElec",1,3,1,"",125.661,0,6.19218,1.00272,0,0,0.163783,0,0.0661847,8.29109,11.6674,5.61283,0,5.8374,51.3333,0,16.0115,0,13.0093,0,1.13058,0,5.34234,0,0
"MtrElec",1,3,2,"",108.755,0,6.403,0.851552,0,0,0.163783,0,0.0772856,8.29109,11.6673,5.57351,0,4.8222,47.2797,0,15.2293,0,0,0,0.904462,0,7.49165,0,0
"MtrElec",1,3,3,"",108.919,0,6.47932,0.71214,0,0,0.163783,0,0.0857515,8.29109,11.6673,5.57139,0,3.807,44.8524,0,14.9496,2.93223,0,0,0.678346,0,8.72828,0,0
"MtrElec",1,3,4,"",153.945,0,6.68471,0.723216,43.698,0,0.163783,0,0.0927805,8.29109,11.6673,5.56977,0,4.3146,44.7245,0,14.5987,2.01875,0,4.41027,0.678346,0,6.30867,0,0
"MtrElec",1,3,5,"",143.304,0,7.88519,1.41043,0,0,0.163783,0,0.138776,8.29109,11.6673,5.56538,0,5.3298,42.5129,0,14.2595,0,37.2773,0,0.678346,0,8.12454,0,0
"MtrElec",1,3,6,"",112.029,0,8.23043,1.72995,0,0,0.163783,0,0.137015,8.29109,11.6673,5.53189,0,7.8678,46.3646,0,14.2162,0,0,0,1.13058,0,6.69807,0,0
"MtrElec",1,3,7,"",171.976,0,7.68473,1.42742,53.5956,0,0.163783,0,0.1128,8.29109,11.6673,5.53253,0,10.6596,52.3149,0,14.6946,0,0,1.76386,2.26115,0,1.80652,0,0
"MtrElec",1,3,8,"",208.013,0,7.41642,1.33707,68.1877,0,0.163783,0,0.133929,8.29109,11.6673,5.53638,0,10.4058,57.1022,0,15.8061,0,14.9088,0.951759,6.10511,0,0,0,0
"MtrElec",1,3,9,"",229.963,0,6.32612,0.968012,87.6461,0,0.163783,0,0.137823,8.29109,11.6673,5.55485,0,8.6292,54.6987,0,17.3966,4.95078,8.04462,4.63415,10.8535,0,0,0,0
"MtrElec",1,3,10,"",306.959,0,4.58601,0.238101,135.688,0,0.163783,0,0.116425,8.29109,11.6674,5.58078,0,7.3602,54.5556,0,17.2294,0,39.1696,11.4594,10.8535,0,0,0,0
"MtrElec",1,3,11,"",337.008,0,3.05632,0,114.384,0,0.163783,0,0.0520002,8.29109,11.6674,5.65606,0,6.8526,55.5818,0,16.8721,2.55955,96.8591,4.61128,10.4013,0,0,0,0
"MtrElec",1,3,12,"",267.337,0,1.85109,0,97.7814,0,0.163783,0,0.00401834,8.29109,11.6677,0,0,6.345,54.7814,0,17.1987,9.50289,38.9762,8.3376,12.4363,0,0,0,0
"MtrElec",1,3,13,"",274.537,0,1.33605,0,81.9674,0,0.163783,0,0,8.29109,11.6677,0,0,5.3298,53.2685,0,17.5389,6.01895,70.4725,4.23754,14.2453,0,0,0,0
"MtrElec",1,3,14,"",244.473,0,0.814679,0,86.5859,0,0.163783,0,0,8.29109,11.6677,0,0,5.3298,54.7668,0,17.7429,1.7221,35.8172,8.2307,13.3408,0,0,0,0
"MtrElec",1,3,15,"",243.067,0,0.639467,0,50.6299,0,0.163783,0,0,8.29109,11.6676,0,0,5.3298,57.2419,0,17.5496,4.94981,69.5689,3.01641,14.0191,0,0,0,0
"MtrElec",1,3,16,"",208.182,0,0.602824,0,59.0939,0,0.163783,0,0,8.29109,11.6676,0,0,6.5988,59.9819,0,17.7865,0,25.4958,3.12436,15.3758,0,0,0,0
"MtrElec",1,3,17,"",214.39,0,0.685804,0,51.6527,0,0.163783,0,0,8.29109,11.6677,0,0,7.8678,66.7916,0,17.7276,0,26.4082,2.55698,20.5765,0,0,0,0
"MtrElec",1,3,18,"",261.547,0,0.903166,0,74.6928,0,0.163783,0,0,8.29109,11.6677,0,0,11.1672,74.551,0,18.641,0,21.6125,8.42699,31.43,0,0,0,0
"MtrElec",1,3,19,"",338.758,0,0.889137,0,87.8659,0,0.163783,0,0,8.29109,11.6677,0,0,21.3192,79.7447,0,19.7082,3.21988,71.228,5.49195,29.1689,0,0,0,0
"MtrElec",1,3,20,"",284.801,0,0.901017,0,56.3653,0,0.163783,0,0,8.29109,11.6677,0,0,29.6946,82.7995,0,19.4265,9.15292,46.42,3.6382,16.2803,0,0,0,0
"MtrElec",1,3,21,"",266.423,0,1.1486,0,62.6081,0,0.163783,0,0,8.29109,11.6676,0.0195966,0,28.6794,85.8542,0,19.0516,5.21615,30.7514,5.73584,7.23569,0,0,0,0
"MtrElec",1,3,22,"",274.52,0,1.38416,0,61.9917,0,0.163783,0,0,8.29109,11.6676,0.426068,0,24.3648,84.6139,0,18.3037,11.1458,48.4814,0.520187,3.16561,0,0,0,0
"MtrElec",1,3,23,"",225.143,0,2.29446,0,65.865,0,0.163783,0,0,8.29109,11.6675,5.67958,0,15.9894,75.606,0,17.2033,11.1045,4.39682,4.84706,2.03504,0,0,0,0
"MtrElec",1,3,24,"",166.273,0,3.70629,0.0155528,0.111261,0,0.163783,0,0,8.29109,11.6674,5.65749,0,9.8982,62.7554,0,16.9644,2.23321,40.9691,0.445769,1.13058,0,2.26386,0,0
"MtrElec",1,4,1,"",118.334,0,4.64728,0.418498,0,0,0.163783,0,0,8.29109,11.6674,5.64701,0,5.8374,51.3333,0,15.9594,0,3.7678,0,1.13058,0,9.47027,0,0
"MtrElec",1,4,2,"",108.939,0,5.58341,0.643844,0.362102,0,0.163783,0,0.0142363,8.29109,11.6674,5.58798,0,4.8222,47.2797,0,15.173,0,0,0,0.904462,0,8.44583,0,0
"MtrElec",1,4,3,"",159.978,0,6.81178,0.90781,49.8776,0,0.163783,0,0.0626723,8.29109,11.6673,5.55307,0,3.807,44.8524,0,14.8876,4.39834,0,0,0.678346,0,8.01885,0,0
"MtrElec",1,4,4,"",113.246,0,7.80829,1.23058,0,0,0.163783,0,0.113958,8.29109,11.6673,5.54381,0,4.3146,44.7245,0,14.527,3.02812,0,3.52822,0.678346,0,7.62624,0,0
"MtrElec",1,4,5,"",138.784,0,9.17464,1.81349,0,0,0.163783,0,0.203475,8.29109,11.6673,5.53595,0,5.3298,42.5129,0,14.167,0,29.8218,0,0.678346,0,9.42425,0,0
"MtrElec",1,4,6,"",117.811,0,9.59954,2.07196,0,0,0.163783,0,0.237294,8.29109,11.6673,5.52268,0,7.8678,46.3646,0,14.1132,0,0,0,1.13058,0,10.7813,0,0
"MtrElec",1,4,7,"",176.855,0,9.21539,1.84825,57.9052,0,0.163783,0,0.217175,8.29109,11.6673,5.51747,0,10.6596,52.2089,0,14.5681,0,0,1.76386,2.26115,0,0.567546,0,0
"MtrElec",1,4,8,"",224.452,0,7.44538,1.15404,84.4558,0,0.163783,0,0.14561,8.29109,11.6673,5.54375,0,10.4058,56.9195,0,15.6785,0,14.9088,1.5676,6.10511,0,0,0,0
"MtrElec",1,4,9,"",237.432,0,5.45297,0.140256,89.6676,0,0.163783,0,0.107129,8.29109,11.6674,5.58188,0,8.6292,53.744,0,17.3316,4.95078,13.2499,7.60118,10.8535,0,0,0,0
"MtrElec",1,4,10,"",342.66,0,3.39356,0,156.472,0,0.163783,0,0.0729397,8.29109,11.6675,0,0,7.3602,51.7744,0,17.2158,0,64.248,11.1475,10.8535,0,0,0,0
"MtrElec",1,4,11,"",319.212,0,1.35529,0,105.175,0,0.163783,0,0.0268282,8.29109,11.6675,0,0,6.8526,52.8005,0,16.9404,1.70637,94.223,9.60929,10.4013,0,0,0,0
"MtrElec",1,4,12,"",326.236,0,0.398658,0,108.699,0,0.163783,0,0.00118915,8.29109,11.6676,0,0,6.345,52.0002,0,17.319,16.7759,81.2212,10.9172,12.4363,0,0,0,0
"MtrElec",1,4,13,"",326.602,0,0.115659,0,113.825,0,0.163783,0,0,8.29109,11.6678,0,0,5.3298,53.1487,0,17.6936,3.40642,92.276,6.43903,14.2453,0,0,0,0
"MtrElec",1,4,14,"",233.847,0.691624,0.01634,0,53.0875,0,0.163783,0.0993282,0,8.29109,11.6679,0,0,5.3298,54.647,0,17.9141,5.33457,54.4251,8.83802,13.3408,0,0,0,0
"MtrElec",1,4,15,"",249.626,4.67846,0,0,51.7691,0,0.163783,0.677165,0,8.29109,11.6681,0,0,5.3298,57.1222,0,17.7351,0,74.7022,3.46927,14.0191,0,0,0,0
"MtrElec",1,4,16,"",215.534,6.21679,0,0,54.8502,0,0.163783,0.880142,0,8.29109,11.6681,0,0,6.5988,59.8622,0,17.9337,0,29.3235,4.37013,15.3758,0,0,0,0
"MtrElec",1,4,17,"",238.678,1.58235,0,0,60.4536,0,0.163783,0.219528,0,8.29109,11.6679,0,0,7.8678,66.6719,0,17.9818,4.9497,36.938,1.31443,20.5765,0,0,0,0
"MtrElec",1,4,18,"",249.983,0,0.0831493,0,72.7733,0,0.163783,0,0,8.29109,11.6677,0,0,11.1672,74.336,0,18.9083,0,11.11,10.0526,31.43,0,0,0,0
"MtrElec",1,4,19,"",331.885,0,0.238803,0,69.2867,0,0.163783,0,0,8.29109,11.6678,0,0,21.3192,79.8369,0,19.8754,3.89008,84.9682,3.17826,29.1689,0,0,0,0
"MtrElec",1,4,20,"",294.816,0,0.343856,0,84.7125,0,0.163783,0,0,8.29109,11.6678,0,0,29.6946,82.9684,0,19.5915,10.9566,26.8639,3.28115,16.2803,0,0,0,0
"MtrElec",1,4,21,"",252.617,0,0.439684,0,57.0074,0,0.163783,0,0,8.29109,11.6677,0,0,28.6794,86.0232,0,19.2283,4.0077,27.7335,2.13982,7.23569,0,0,0,0
"MtrElec",1,4,22,"",233.958,0,0.77412,0,54.4754,0,0.163783,0,0,8.29109,11.6677,0,0,24.3648,85.0899,0,18.4672,8.44744,18.0866,0.963909,3.16561,0,0,0,0
"MtrElec",1,4,23,"",210.051,0,1.27466,0,61.072,0,0.163783,0,0,8.29109,11.6677,0.0209447,0,15.9894,73.9478,0,17.4187,7.58785,8.14732,2.43474,2.03504,0,0,0,0
"MtrElec",1,4,24,"",140.055,0,1.84139,0,0,0,0.163783,0,0,8.29109,11.6675,0.375111,0,9.8982,62.7554,0,17.09,2.23321,20.5793,0.882109,1.13058,0,3.14766,0,0
"MtrElec",1,5,1,"",117.427,0,2.9991,0,0,0,0.163783,0,0,8.29109,11.6675,5.66448,0,5.8374,51.197,0,15.8135,0,7.45591,0,1.13058,0,7.20723,0,0
"MtrElec",1,5,2,"",107.809,0,3.79879,0,0,0,0.163783,0,0,8.29109,11.6674,5.6505,0,4.8222,46.7506,0,15.2548,0,0,0,0.904462,0,10.5058,0,0
"MtrElec",1,5,3,"",152.4,0,4.40647,0.0336713,43.0742,0,0.163783,0,0,8.29109,11.6674,5.64374,0,3.807,44.988,0,14.7704,4.94929,0,0.770893,0.904462,0,8.92939,0,0
"MtrElec",1,5,4,"",112.816,0,5.36099,0.478153,0,0,0.163783,0,0.0143102,8.29109,11.6674,5.60534,0,4.3146,44.7238,0,14.5144,0,6.51587,0.993093,0.904462,0,9.26853,0,0
"MtrElec",1,5,5,"",112.097,0,5.96477,0.527245,0,0,0.163783,0,0.0392122,8.29109,11.6674,5.59098,0,5.3298,42.6485,0,14.2303,0,8.39398,0,0.904462,0,8.34565,0,0
"MtrElec",1,5,6,"",117.194,0,6.43034,0.713513,7.29163,0,0.163783,0,0.0585831,8.29109,11.6674,5.58619,0,7.8678,46.6061,0,14.8851,0,0,1.49079,3.16561,0,2.9763,0,0
"MtrElec",1,5,7,"",247.909,0,6.28696,0.826809,114.824,0,0.163783,0,0.0626236,8.29109,11.6674,5.58673,0,10.6596,54.526,0,16.2962,0,12.6007,1.82137,4.29619,0,0,0,0
"MtrElec",1,5,8,"",275.492,0,5.51689,0.37666,127.163,0,0.163783,0,0.0652138,8.29109,11.6674,5.58597,0,10.4058,60.4814,0,17.5016,1.78192,15.3949,5.44367,5.65288,0,0,0,0
"MtrElec",1,5,9,"",269.388,0,3.04594,0,94.859,0,0.163783,0,0.0330655,8.29109,11.6674,0.152744,0,8.6292,59.3392,0,17.1007,7.84741,46.0119,6.36774,5.879,0,0,0,0
"MtrElec",1,5,10,"",251.801,0,0.901598,0,62.7633,0,0.163783,0,0.0143971,8.29109,11.6676,0,0,7.3602,58.8664,0,16.1657,12.4252,53.8225,14.3844,4.97454,0,0,0,0
"MtrElec",1,5,11,"",330.819,0,0.27038,0,90.0296,0,0.163783,0,0.00034918,8.29109,11.6676,0,0,6.8526,59.1677,0,15.8314,2.6907,121.583,9.52307,4.74842,0,0,0,0
"MtrElec",1,5,12,"",281.768,0,0.112372,0,79.9402,0,0.163783,0,0,8.29109,11.6677,0,0,6.345,59.1677,0,16.025,0,80.4925,13.0059,6.55734,0,0,0,0
"MtrElec",1,5,13,"",242.758,0,0.0219179,0,14.9991,0,0.163783,0,0,8.29109,11.6679,0,0,5.3298,59.2479,0,16.3291,7.42442,109.93,1.43864,7.91404,0,0,0,0
"MtrElec",1,5,14,"",161.363,0,0,0,37.4993,0,0.163783,0,0,8.29109,11.668,0,0,5.3298,60.3533,0,16.1105,0,12.1599,2.55139,7.23569,0,0,0,0
"MtrElec",1,5,15,"",185.623,0,0,0,45.4187,0,0.163783,0,0,8.29109,11.6679,0,0,5.3298,62.172,0,16.1482,4.95004,21.5653,2.22866,7.68792,0,0,0,0
"MtrElec",1,5,16,"",195.884,0,0,0,47.8192,0,0.163783,0,0,8.29109,11.6678,0,0,6.5988,63.7188,0,16.3982,6.21133,18.8375,4.41947,11.758,0,0,0,0
"MtrElec",1,5,17,"",232.074,0,0,0,49.203,0,0.163783,0,0,8.29109,11.668,0,0,7.8678,70.6647,0,17.2123,2.80397,37.355,0.840926,26.0033,0,0,0,0
"MtrElec",1,5,18,"",239.891,0,0,0,54.8544,0,0.163783,0,0,8.29109,11.6679,0,0,11.1672,76.6157,0,18.8403,7.54278,7.10782,0,43.6403,0,0,0,0
"MtrElec",1,5,19,"",260.034,0,0,0,68.9101,0,0.163783,0,0,8.29109,11.6677,0,0,21.3192,81.4779,0,20.1003,5.71015,0,1.69264,40.7008,0,0,0,0
"MtrElec",1,5,20,"",266.238,0,0,0,63.5656,0,0.163783,0,0,8.29109,11.6677,0,0,29.6946,85.7687,0,19.822,4.55285,14.3068,6.24578,22.1593,0,0,0,0
"MtrElec",1,5,21,"",292.336,0,0.000760165,0,56.0545,0,0.163783,0,0,8.29109,11.6678,0,0,28.6794,88.9865,0,19.1128,17.0905,52.7916,0,9.49684,0,0,0,0
"MtrElec",1,5,22,"",227.765,0,0.075306,0,69.2276,0,0.163783,0,0,8.29109,11.6678,0,0,24.3648,87.7289,0,18.4434,0.634068,0,2.64585,4.52231,0,0,0,0
"MtrElec",1,5,23,"",215.717,0,0.164614,0,57.9304,0,0.163783,0,0,8.29109,11.6678,0,0,15.9894,75.7196,0,17.3918,0,22.3637,3.3213,2.71338,0,0,0,0
"MtrElec",1,5,24,"",194.754,0,0.264188,0,50.0897,0,0.163783,0,0,8.29109,11.6678,0,0,9.8982,63.8372,0,16.4732,0,28.0728,3.73514,2.26115,0,0,0,0
"MtrElec",1,6,1,"",135,0,0.339624,0,0,0,0.163783,0,0,8.29109,11.6678,0,0,5.8374,51.197,0,15.9509,2.47455,31.5708,0,1.13058,0,6.37675,0,0
"MtrElec",1,6,2,"",100.399,0,0.44815,0,0,0,0.163783,0,0,8.29109,11.6678,0,0,4.8222,46.7506,0,15.3893,1.69764,0,0,0.904462,0,10.2643,0,0
"MtrElec",1,6,3,"",96.3148,0,0.878775,0,0,0,0.163783,0,0,8.29109,11.6678,0,0,3.807,44.988,0,14.9248,0.777912,0,0,0.904462,0,9.91105,0,0
"MtrElec",1,6,4,"",97.0328,0,1.09581,0,0,0,0.163783,0,0,8.29109,11.6678,0,0,4.3146,44.7238,0,14.6702,0,0,0,0.904462,0,11.2012,0,0
"MtrElec",1,6,5,"",92.8254,0,1.3653,0,0,0,0.163783,0,0,8.29109,11.6678,0,0,5.3298,42.6485,0,14.4114,0,0,0,0.904462,0,8.04331,0,0
"MtrElec",1,6,6,"",140.741,0,1.5817,0,41.719,0,0.163783,0,0,8.29109,11.6677,0,0,7.8678,46.6061,0,15.1132,0,0,0.745395,3.16561,0,3.81906,0,0
"MtrElec",1,6,7,"",179.828,0,1.48299,0,65.3598,0,0.163783,0,0,8.29109,11.6677,0,0,10.6596,54.526,0,16.4945,0,6.30035,0.585728,4.29619,0,0,0,0
"MtrElec",1,6,8,"",264.538,0,1.37316,0,137.516,0,0.163783,0,0,8.29109,11.6677,0,0,10.4058,60.4814,0,17.6665,0.803351,4.95079,5.56567,5.65288,0,0,0,0
"MtrElec",1,6,9,"",253.909,0,0.53128,0,79.9028,0,0.163783,0,0,8.29109,11.6677,0,0,8.6292,59.3392,0,17.2923,7.88291,47.0431,7.28646,5.879,0,0,0,0
"MtrElec",1,6,10,"",251.706,0,0.0762998,0,65.078,0,0.163783,0,0,8.29109,11.6677,0,0,7.3602,58.8664,0,16.3997,6.84701,61.5879,10.3936,4.97454,0,0,0,0
"MtrElec",1,6,11,"",266.687,0,0,0,59.4206,0,0.163783,0,0,8.29109,11.668,0,0,6.8526,59.1677,0,16.0598,3.56618,87.8506,8.89831,4.74842,0,0,0,0
"MtrElec",1,6,12,"",254.33,2.19071,0,0,59.4583,0,0.163783,0.297308,0,8.29109,11.6677,0,0,6.345,59.1677,0,16.2893,0.702988,75.2118,7.98725,6.55734,0,0,0,0
